username,tweetcreatedat,text
Raeun_park,2022-10-05 23:54:30+00:00,"@drazstice hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:27+00:00,"@aevolindryn hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:23+00:00,"@sxncgrtts hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:20+00:00,"@varaaqueen hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:14+00:00,"@SADIPXX hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
TAE8YS,2022-10-05 23:54:11+00:00,"@sbmptnfess Tuhkan mulai lagi latahnya.

Ga penting mau kuliah dimana yang penting kamu serius nuntut ilmu nya. Udahlah... Semua ptn/pts bagus kok, jgn underestimate kampus kamu sendiri gitu dong:(("
Raeun_park,2022-10-05 23:54:10+00:00,"@cgrtvan hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
quntitled,2022-10-05 23:54:09+00:00,@ssefnum kuliah nanti siang
autumnjwy,2022-10-05 23:54:04+00:00,alhamdulillah karena tbtb aku dikasi tip sama cust 🥹🥹 mau GA 2.5k buat 2 orang. RT aja aku undi besok pulang kuliah sore #zonauang https://t.co/RvHr8Eseq4
chsbinie_,2022-10-05 23:54:02+00:00,"@aksaraadion SIAPP, Dion juga yaa biar semangat kuliah nya"
Raeun_park,2022-10-05 23:53:58+00:00,"@txtalana hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Haeyoung099688,2022-10-05 23:53:57+00:00,Eri cuti kuliah https://t.co/uJ9g5wDf10
