username,tweetcreatedat,text,clean_text,remove_symb,clean_text_two,case_fold,tokenize,data
sclipknot,2022-10-05 23:32:42+00:00,"untung ya gua tuh gaadk kuliah subuh, coba kalo ada kan gua malu krn tiap pagi gua pasti sumpelan idung pake tisu [tiap pagi w umbelann anj]","untung ya gua tuh gaadk kuliah subuh, coba kalo ada kan gua malu krn tiap pagi gua pasti sumpelan idung pake tisu [tiap pagi w umbelann anj]",untung ya gua tuh gaadk kuliah subuh coba kalo ada kan gua malu krn tiap pagi gua pasti sumpelan idung pake tisu tiap pagi w umbelann anj,untung ya gua tuh gaadk kuliah subuh coba kalo ada kan gua malu krn tiap pagi gua pasti sumpelan idung pake tisu tiap pagi w umbelann anj,untung ya gua tuh gaadk kuliah subuh coba kalo ada kan gua malu krn tiap pagi gua pasti sumpelan idung pake tisu tiap pagi w umbelann anj,"['untung', 'tuh', 'gaadk', 'kuliah', 'subuh', 'coba', 'kalo', 'malu', 'pagi', 'sumpel', 'idung', 'pake', 'tisu', 'pagi', 'umbelann', 'anj']",untung tuh gaadk kuliah subuh coba kalo malu pagi sumpel idung pake tisu pagi umbelann anj
Oxjungwin,2022-10-05 23:32:41+00:00,kuliah pagi,kuliah pagi,kuliah pagi,kuliah pagi,kuliah pagi,"['kuliah', 'pagi']",kuliah pagi
numberx_3rd,2022-10-05 23:32:30+00:00,kok ngeri sampe kegiatan kuliah diberhentiin jadi online,kok ngeri sampe kegiatan kuliah diberhentiin jadi online,kok ngeri sampe kegiatan kuliah diberhentiin jadi online,kok ngeri sampe kegiatan kuliah diberhentiin jadi online,kok ngeri sampe kegiatan kuliah diberhentiin jadi online,"['ngeri', 'sampe', 'giat', 'kuliah', 'diberhentiin', 'online']",ngeri sampe giat kuliah diberhentiin online
oktaviaaar,2022-10-05 23:32:29+00:00,@bebasaktif Kebiasaan seperti ini cukup hanya mau aku rasakan pada saat kuliah sajaaaa abis itu udah nyerah ya allah😂, Kebiasaan seperti ini cukup hanya mau aku rasakan pada saat kuliah sajaaaa abis itu udah nyerah ya allah😂,Kebiasaan seperti ini cukup hanya mau aku rasakan pada saat kuliah sajaaaa abis itu udah nyerah ya allah,Kebiasaan seperti ini cukup hanya mau aku rasakan pada saat kuliah sajaaaa abis itu udah nyerah ya allah,kebiasaan seperti ini cukup hanya mau aku rasakan pada saat kuliah sajaaaa abis itu udah nyerah ya allah,"['biasa', 'rasa', 'kuliah', 'sajaaa', 'abis', 'udah', 'nyerah', 'allah']",biasa rasa kuliah sajaaa abis udah nyerah allah
Deviaprilina11,2022-10-05 23:32:26+00:00,"Rekomendasi totebag aesthetic muat banyak
🌟4.8-5
1. https://t.co/Ovvrq0Bcwe
2. https://t.co/Hg5M88JfpV
3. https://t.co/8B3TieAG00
4. https://t.co/7HKARAIL0B
5. https://t.co/2yzyVt1PkP
6. https://t.co/mY47vGBBPG

#totebag #tas #kuliah #kerja #ShopeeID #shopeeaffiliate #zonajajan https://t.co/JWsoytlzGn","Rekomendasi totebag aesthetic muat banyak
🌟4.8-5
1. https://t.co/Ovvrq0Bcwe
2. https://t.co/Hg5M88JfpV
3. https://t.co/8B3TieAG00
4. https://t.co/7HKARAIL0B
5. https://t.co/2yzyVt1PkP
6. https://t.co/mY47vGBBPG

#totebag #tas #kuliah #kerja #ShopeeID #shopeeaffiliate #zonajajan https://t.co/JWsoytlzGn",Rekomendasi totebag aesthetic muat banyak 4 8 5 1 2 3 4 5 6 totebag tas kuliah kerja ShopeeID shopeeaffiliate zonajajan,Rekomendasi totebag aesthetic muat banyak          totebag tas kuliah kerja ShopeeID shopeeaffiliate zonajajan,rekomendasi totebag aesthetic muat banyak          totebag tas kuliah kerja shopeeid shopeeaffiliate zonajajan,"['rekomendasi', 'totebag', 'aesthetic', 'muat', 'totebag', 'tas', 'kuliah', 'shopeeid', 'shopeeaffiliate', 'zonajajan']",rekomendasi totebag aesthetic muat totebag tas kuliah shopeeid shopeeaffiliate zonajajan
Mhmd_Malick,2022-10-05 23:32:23+00:00,"Banyak mahasiswa yang mengincar beasiswa LPDP. Sebelum pendaftarannya dibuka, kamu bisa siapkan berbagai dokumen yang menjadi syarat beasiswa LPDP. https://t.co/Exckfng2PA","Banyak mahasiswa yang mengincar beasiswa LPDP. Sebelum pendaftarannya dibuka, kamu bisa siapkan berbagai dokumen yang menjadi syarat beasiswa LPDP. https://t.co/Exckfng2PA",Banyak mahasiswa yang mengincar beasiswa LPDP Sebelum pendaftarannya dibuka kamu bisa siapkan berbagai dokumen yang menjadi syarat beasiswa LPDP,Banyak mahasiswa yang mengincar beasiswa LPDP Sebelum pendaftarannya dibuka kamu bisa siapkan berbagai dokumen yang menjadi syarat beasiswa LPDP,banyak mahasiswa yang mengincar beasiswa lpdp sebelum pendaftarannya dibuka kamu bisa siapkan berbagai dokumen yang menjadi syarat beasiswa lpdp,"['mahasiswa', 'incar', 'beasiswa', 'lpdp', 'daftar', 'buka', 'siap', 'dokumen', 'syarat', 'beasiswa', 'lpdp']",mahasiswa incar beasiswa lpdp daftar buka siap dokumen syarat beasiswa lpdp
airaaazzahraa,2022-10-05 23:32:19+00:00,@beibeeel kuliah di jogja aja makane huu, kuliah di jogja aja makane huu,kuliah di jogja aja makane huu,kuliah di jogja aja makane huu,kuliah di jogja aja makane huu,"['kuliah', 'jogja', 'aja', 'makane', 'huu']",kuliah jogja aja makane huu
priessstt,2022-10-05 23:32:17+00:00,Tidak kuliah demi maen PB https://t.co/l5NIaDLw0X,Tidak kuliah demi maen PB https://t.co/l5NIaDLw0X,Tidak kuliah demi maen PB,Tidak kuliah demi maen PB,tidak kuliah demi maen pb,"['kuliah', 'maen', 'pb']",kuliah maen pb
Maul_f69,2022-10-05 23:31:38+00:00,"@sbmptnfess Kuliah di top 5 itu terbebani ekspetasi, kalau gak enjoy bisa down."," Kuliah di top 5 itu terbebani ekspetasi, kalau gak enjoy bisa down.",Kuliah di top 5 itu terbebani ekspetasi kalau gak enjoy bisa down,Kuliah di top  itu terbebani ekspetasi kalau gak enjoy bisa down,kuliah di top  itu terbebani ekspetasi kalau gak enjoy bisa down,"['kuliah', 'top', 'beban', 'ekspetasi', 'gak', 'enjoy', 'down']",kuliah top beban ekspetasi gak enjoy down
hane3y,2022-10-05 23:31:37+00:00,@SmgMenfess2 Yaa tergantung kamu gimana kuliah nya tooo :( kalo rajin ga ada ngulang2 sks yaa bisa aja, Yaa tergantung kamu gimana kuliah nya tooo :( kalo rajin ga ada ngulang2 sks yaa bisa aja,Yaa tergantung kamu gimana kuliah nya tooo kalo rajin ga ada ngulang2 sks yaa bisa aja,Yaa tergantung kamu gimana kuliah nya tooo kalo rajin ga ada ngulang sks yaa bisa aja,yaa tergantung kamu gimana kuliah nya tooo kalo rajin ga ada ngulang sks yaa bisa aja,"['yaa', 'gantung', 'gimana', 'kuliah', 'tooo', 'kalo', 'rajin', 'ngulang', 'sks', 'yaa', 'aja']",yaa gantung gimana kuliah tooo kalo rajin ngulang sks yaa aja
xoxochaell,2022-10-05 23:31:09+00:00,@jaeminnaax Semangat kuliah nya kak, Semangat kuliah nya kak,Semangat kuliah nya kak,Semangat kuliah nya kak,semangat kuliah nya kak,"['semangat', 'kuliah', 'kak']",semangat kuliah kak
umatberagamaa,2022-10-05 23:31:08+00:00,Ngantuk jing kuliah pagi,Ngantuk jing kuliah pagi,Ngantuk jing kuliah pagi,Ngantuk jing kuliah pagi,ngantuk jing kuliah pagi,"['ngantuk', 'jing', 'kuliah', 'pagi']",ngantuk jing kuliah pagi
clownsh1tt,2022-10-05 23:30:50+00:00,"@collegemenfess Tergantung orang sih. Bagi ku ya ga penting karena nanti jadi ga fokus kuliah segala macem,tapi bagi temen ku malah penting karna dia lebih semangat kuliah kalo ada yang nyemangatin tiap hari atau ada yang bisa bantuin dia nugas wakakakak"," Tergantung orang sih. Bagi ku ya ga penting karena nanti jadi ga fokus kuliah segala macem,tapi bagi temen ku malah penting karna dia lebih semangat kuliah kalo ada yang nyemangatin tiap hari atau ada yang bisa bantuin dia nugas wakakakak",Tergantung orang sih Bagi ku ya ga penting karena nanti jadi ga fokus kuliah segala macem tapi bagi temen ku malah penting karna dia lebih semangat kuliah kalo ada yang nyemangatin tiap hari atau ada yang bisa bantuin dia nugas wakakakak,Tergantung orang sih Bagi ku ya ga penting karena nanti jadi ga fokus kuliah segala macem tapi bagi temen ku malah penting karna dia lebih semangat kuliah kalo ada yang nyemangatin tiap hari atau ada yang bisa bantuin dia nugas wakakakak,tergantung orang sih bagi ku ya ga penting karena nanti jadi ga fokus kuliah segala macem tapi bagi temen ku malah penting karna dia lebih semangat kuliah kalo ada yang nyemangatin tiap hari atau ada yang bisa bantuin dia nugas wakakakak,"['gantung', 'ku', 'fokus', 'kuliah', 'macem', 'temen', 'ku', 'karna', 'semangat', 'kuliah', 'kalo', 'nyemangatin', 'bantuin', 'nugas', 'wakakakak']",gantung ku fokus kuliah macem temen ku karna semangat kuliah kalo nyemangatin bantuin nugas wakakakak
thristyst,2022-10-05 23:30:44+00:00,skrg aku kan disalahin krn milih kuliah diluar,skrg aku kan disalahin krn milih kuliah diluar,skrg aku kan disalahin krn milih kuliah diluar,skrg aku kan disalahin krn milih kuliah diluar,skrg aku kan disalahin krn milih kuliah diluar,"['skrg', 'disalahin', 'milih', 'kuliah', 'luar']",skrg disalahin milih kuliah luar
RickyNatannael,2022-10-05 23:30:40+00:00,"Banyak perubahan yang terjadi semenjak aku tinggal kuliah, kangen banget sblm masuk kuliah. Sorry, aku ra iso spend time ngge kalian","Banyak perubahan yang terjadi semenjak aku tinggal kuliah, kangen banget sblm masuk kuliah. Sorry, aku ra iso spend time ngge kalian",Banyak perubahan yang terjadi semenjak aku tinggal kuliah kangen banget sblm masuk kuliah Sorry aku ra iso spend time ngge kalian,Banyak perubahan yang terjadi semenjak aku tinggal kuliah kangen banget sblm masuk kuliah Sorry aku ra iso spend time ngge kalian,banyak perubahan yang terjadi semenjak aku tinggal kuliah kangen banget sblm masuk kuliah sorry aku ra iso spend time ngge kalian,"['ubah', 'semenjak', 'tinggal', 'kuliah', 'kangen', 'banget', 'sblm', 'kuliah', 'sorry', 'ra', 'iso', 'spend', 'time', 'ngge']",ubah semenjak tinggal kuliah kangen banget sblm kuliah sorry ra iso spend time ngge
eccedenisast,2022-10-05 23:30:35+00:00,"Sapa yg kalo abis putus nyari mati? Ak ak ak. 

Kuliah, kerja, 4 volunteers. Kurang aph lagi ak https://t.co/QOhxttZYLd","Sapa yg kalo abis putus nyari mati? Ak ak ak. 

Kuliah, kerja, 4 volunteers. Kurang aph lagi ak https://t.co/QOhxttZYLd",Sapa yg kalo abis putus nyari mati Ak ak ak Kuliah kerja 4 volunteers Kurang aph lagi ak,Sapa yg kalo abis putus nyari mati Ak ak ak Kuliah kerja  volunteers Kurang aph lagi ak,sapa yg kalo abis putus nyari mati ak ak ak kuliah kerja  volunteers kurang aph lagi ak,"['sapa', 'kalo', 'abis', 'putus', 'nyari', 'mati', 'ak', 'ak', 'ak', 'kuliah', 'volunteers', 'aph', 'ak']",sapa kalo abis putus nyari mati ak ak ak kuliah volunteers aph ak
bisnisjutaan,2022-10-05 23:30:30+00:00,"Bayar KULIAH/UANG KOST’an pake uang sendiri, BUKAN MIMPI lagi. Hub 74712000 https://t.co/qIjm1SwWaD #MyAzaria https://t.co/qOB59Td5nq","Bayar KULIAH/UANG KOST’an pake uang sendiri, BUKAN MIMPI lagi. Hub 74712000 https://t.co/qIjm1SwWaD #MyAzaria https://t.co/qOB59Td5nq",Bayar KULIAH UANG KOST an pake uang sendiri BUKAN MIMPI lagi Hub 74712000 MyAzaria,Bayar KULIAH UANG KOST an pake uang sendiri BUKAN MIMPI lagi Hub  MyAzaria,bayar kuliah uang kost an pake uang sendiri bukan mimpi lagi hub  myazaria,"['bayar', 'kuliah', 'uang', 'kost', 'an', 'pake', 'uang', 'mimpi', 'hub', 'myazaria']",bayar kuliah uang kost an pake uang mimpi hub myazaria
dinihrjsh,2022-10-05 23:30:28+00:00,"outfit buat kuliah atau nongki sama temen!

🧸pashmina darkgrey
https://t.co/yHZOyW0YuZ
🎀 kemeja putih
https://t.co/3pmoQZ3l5R
🧸loose pants darkgrey
https://t.co/dk6R3f2ao7
🎀 inner rajut panjang biar nyaman😆
https://t.co/YfAN24HWJn https://t.co/mINmOWyVeG","outfit buat kuliah atau nongki sama temen!

🧸pashmina darkgrey
https://t.co/yHZOyW0YuZ
🎀 kemeja putih
https://t.co/3pmoQZ3l5R
🧸loose pants darkgrey
https://t.co/dk6R3f2ao7
🎀 inner rajut panjang biar nyaman😆
https://t.co/YfAN24HWJn https://t.co/mINmOWyVeG",outfit buat kuliah atau nongki sama temen pashmina darkgrey kemeja putih loose pants darkgrey inner rajut panjang biar nyaman,outfit buat kuliah atau nongki sama temen pashmina darkgrey kemeja putih loose pants darkgrey inner rajut panjang biar nyaman,outfit buat kuliah atau nongki sama temen pashmina darkgrey kemeja putih loose pants darkgrey inner rajut panjang biar nyaman,"['outfit', 'kuliah', 'nongki', 'temen', 'pashmina', 'darkgrey', 'kemeja', 'putih', 'loose', 'pants', 'darkgrey', 'inner', 'rajut', 'biar', 'nyaman']",outfit kuliah nongki temen pashmina darkgrey kemeja putih loose pants darkgrey inner rajut biar nyaman
jeehyuck,2022-10-05 23:30:28+00:00,@splendedblue ka mamal hari ini kuliah??, ka mamal hari ini kuliah??,ka mamal hari ini kuliah,ka mamal hari ini kuliah,ka mamal hari ini kuliah,"['ka', 'mamal', 'kuliah']",ka mamal kuliah
Fibonacikecil,2022-10-05 23:30:26+00:00,"@collegemenfess Gw terbalik, gw ambis pas kuliah karena memang gak ada duit untuk itu, dan ngelihat ortu ngusahakan ada uang"," Gw terbalik, gw ambis pas kuliah karena memang gak ada duit untuk itu, dan ngelihat ortu ngusahakan ada uang",Gw terbalik gw ambis pas kuliah karena memang gak ada duit untuk itu dan ngelihat ortu ngusahakan ada uang,Gw terbalik gw ambis pas kuliah karena memang gak ada duit untuk itu dan ngelihat ortu ngusahakan ada uang,gw terbalik gw ambis pas kuliah karena memang gak ada duit untuk itu dan ngelihat ortu ngusahakan ada uang,"['balik', 'ambis', 'pas', 'kuliah', 'gak', 'duit', 'ngelihat', 'ortu', 'ngusahakan', 'uang']",balik ambis pas kuliah gak duit ngelihat ortu ngusahakan uang
eatwithrosie,2022-10-05 23:30:25+00:00,@leorswr ky lu ga kuliah, ky lu ga kuliah,ky lu ga kuliah,ky lu ga kuliah,ky lu ga kuliah,"['ky', 'kuliah']",ky kuliah
thristyst,2022-10-05 23:30:19+00:00,sok2 nyuruhin mikirin duit untuk kuliah keluar,sok2 nyuruhin mikirin duit untuk kuliah keluar,sok2 nyuruhin mikirin duit untuk kuliah keluar,sok nyuruhin mikirin duit untuk kuliah keluar,sok nyuruhin mikirin duit untuk kuliah keluar,"['sok', 'nyuruhin', 'mikirin', 'duit', 'kuliah']",sok nyuruhin mikirin duit kuliah
kojunieyaaa,2022-10-05 23:30:00+00:00,semangat kuliah karena besok libur bisa drakor😄,semangat kuliah karena besok libur bisa drakor😄,semangat kuliah karena besok libur bisa drakor,semangat kuliah karena besok libur bisa drakor,semangat kuliah karena besok libur bisa drakor,"['semangat', 'kuliah', 'besok', 'libur', 'drakor']",semangat kuliah besok libur drakor
thristyst,2022-10-05 23:29:54+00:00,kntol apa salahnya ak kuliah di sby klg,kntol apa salahnya ak kuliah di sby klg,kntol apa salahnya ak kuliah di sby klg,kntol apa salahnya ak kuliah di sby klg,kntol apa salahnya ak kuliah di sby klg,"['kntol', 'salah', 'ak', 'kuliah', 'sby', 'klg']",kntol salah ak kuliah sby klg
Cwxyyw,2022-10-05 23:29:48+00:00,"✨ Rekomendasi Kemeja Under 100k ✨

⭐4.8
https://t.co/KNCezSeCTe

⭐4.8
https://t.co/r69LqJXgL5

⭐4.9
https://t.co/ga0Hx4pnJJ

⭐4.8
https://t.co/28VU9LeDkF

Kemejanya cocok bgt buat kuliah😍

#racunshopee | Fashion Wanita | #OOTD | Baju | #outfits | Pakaian | #shopeehaul https://t.co/fh4l0ppmgt","✨ Rekomendasi Kemeja Under 100k ✨

⭐4.8
https://t.co/KNCezSeCTe

⭐4.8
https://t.co/r69LqJXgL5

⭐4.9
https://t.co/ga0Hx4pnJJ

⭐4.8
https://t.co/28VU9LeDkF

Kemejanya cocok bgt buat kuliah😍

#racunshopee | Fashion Wanita | #OOTD | Baju | #outfits | Pakaian | #shopeehaul https://t.co/fh4l0ppmgt",Rekomendasi Kemeja Under 100k 4 8 4 8 4 9 4 8 Kemejanya cocok bgt buat kuliah racunshopee Fashion Wanita OOTD Baju outfits Pakaian shopeehaul,Rekomendasi Kemeja Under k         Kemejanya cocok bgt buat kuliah racunshopee Fashion Wanita OOTD Baju outfits Pakaian shopeehaul,rekomendasi kemeja under k         kemejanya cocok bgt buat kuliah racunshopee fashion wanita ootd baju outfits pakaian shopeehaul,"['rekomendasi', 'kemeja', 'under', 'kemeja', 'cocok', 'kuliah', 'racunshopee', 'fashion', 'wanita', 'ootd', 'baju', 'outfits', 'pakai', 'shopeehaul']",rekomendasi kemeja under kemeja cocok kuliah racunshopee fashion wanita ootd baju outfits pakai shopeehaul
injuna00,2022-10-05 23:29:47+00:00,[isa-rui] ft. ei a day in life few tweets au edisi papa udah berangkat kuliah dan abuy sendiri jagain ei 👶🏻🐻‍❄️🛁🧼 warn : mpreg! https://t.co/T1zWfOoGSk,[isa-rui] ft. ei a day in life few tweets au edisi papa udah berangkat kuliah dan abuy sendiri jagain ei 👶🏻🐻‍❄️🛁🧼 warn : mpreg! https://t.co/T1zWfOoGSk,isa rui ft ei a day in life few tweets au edisi papa udah berangkat kuliah dan abuy sendiri jagain ei warn mpreg,isa rui ft ei a day in life few tweets au edisi papa udah berangkat kuliah dan abuy sendiri jagain ei warn mpreg,isa rui ft ei a day in life few tweets au edisi papa udah berangkat kuliah dan abuy sendiri jagain ei warn mpreg,"['isa', 'rui', 'ft', 'ei', 'day', 'in', 'life', 'few', 'tweets', 'au', 'edisi', 'papa', 'udah', 'berangkat', 'kuliah', 'abuy', 'jagain', 'ei', 'warn', 'mpreg']",isa rui ft ei day in life few tweets au edisi papa udah berangkat kuliah abuy jagain ei warn mpreg
inget_dosaa,2022-10-05 23:29:23+00:00,@samsuDiinn @liligregah @alstublieft__ @hudacahjurang @detikcom Kuliah jurusan apa, Kuliah jurusan apa,Kuliah jurusan apa,Kuliah jurusan apa,kuliah jurusan apa,"['kuliah', 'jurus']",kuliah jurus
bloomingbluem,2022-10-05 23:29:08+00:00,"@gojekindonesia min tolong dibantu dong, aku tadi tap in di stasiun bekasi dan berhasil tp di aplikasi belom muncul barcode tap out nya, yg nongol tap in terus. bantuin dong min mau kuliah nih 😭🙏🏻"," min tolong dibantu dong, aku tadi tap in di stasiun bekasi dan berhasil tp di aplikasi belom muncul barcode tap out nya, yg nongol tap in terus. bantuin dong min mau kuliah nih 😭🙏🏻",min tolong dibantu dong aku tadi tap in di stasiun bekasi dan berhasil tp di aplikasi belom muncul barcode tap out nya yg nongol tap in terus bantuin dong min mau kuliah nih,min tolong dibantu dong aku tadi tap in di stasiun bekasi dan berhasil tp di aplikasi belom muncul barcode tap out nya yg nongol tap in terus bantuin dong min mau kuliah nih,min tolong dibantu dong aku tadi tap in di stasiun bekasi dan berhasil tp di aplikasi belom muncul barcode tap out nya yg nongol tap in terus bantuin dong min mau kuliah nih,"['min', 'tolong', 'bantu', 'tap', 'in', 'stasiun', 'bekas', 'hasil', 'aplikasi', 'bom', 'muncul', 'barcode', 'tap', 'out', 'nongol', 'tap', 'in', 'bantuin', 'min', 'kuliah', 'nih']",min tolong bantu tap in stasiun bekas hasil aplikasi bom muncul barcode tap out nongol tap in bantuin min kuliah nih
