username,tweetcreatedat,text,clean_text,remove_symb,clean_text_two,case_fold,tokenize,data
juarazr,2022-10-05 23:29:06+00:00,"Kasian orang tuanya admin Tije udah nyekolahin anaknya mahal-mahal sampai kuliah, pas udah kerja malah cuma bisa balas template copy-paste. Pantes aja jaman skrg orang susah cari kerja, kemampuannya cuma kayak gini. https://t.co/GS9vViMIfJ","Kasian orang tuanya admin Tije udah nyekolahin anaknya mahal-mahal sampai kuliah, pas udah kerja malah cuma bisa balas template copy-paste. Pantes aja jaman skrg orang susah cari kerja, kemampuannya cuma kayak gini. https://t.co/GS9vViMIfJ",Kasian orang tuanya admin Tije udah nyekolahin anaknya mahal mahal sampai kuliah pas udah kerja malah cuma bisa balas template copy paste Pantes aja jaman skrg orang susah cari kerja kemampuannya cuma kayak gini,Kasian orang tuanya admin Tije udah nyekolahin anaknya mahal mahal sampai kuliah pas udah kerja malah cuma bisa balas template copy paste Pantes aja jaman skrg orang susah cari kerja kemampuannya cuma kayak gini,kasian orang tuanya admin tije udah nyekolahin anaknya mahal mahal sampai kuliah pas udah kerja malah cuma bisa balas template copy paste pantes aja jaman skrg orang susah cari kerja kemampuannya cuma kayak gini,"['kasi', 'tua', 'admin', 'tije', 'udah', 'nyekolahin', 'anak', 'mahal', 'mahal', 'kuliah', 'pas', 'udah', 'balas', 'template', 'copy', 'paste', 'pantes', 'aja', 'jaman', 'skrg', 'susah', 'cari', 'mampu', 'kayak', 'gin']",kasi tua admin tije udah nyekolahin anak mahal mahal kuliah pas udah balas template copy paste pantes aja jaman skrg susah cari mampu kayak gin
ikanbadutmekdi,2022-10-05 23:29:01+00:00,"@sbmptnfess Gapapa, gue aja kuliah di ntuh no 46 oke oke aja"," Gapapa, gue aja kuliah di ntuh no 46 oke oke aja",Gapapa gue aja kuliah di ntuh no 46 oke oke aja,Gapapa gue aja kuliah di ntuh no  oke oke aja,gapapa gue aja kuliah di ntuh no  oke oke aja,"['gapapa', 'aja', 'kuliah', 'ntuh', 'no', 'aja']",gapapa aja kuliah ntuh no aja
sampoerna_boi,2022-10-05 23:28:58+00:00,"lika liku di pagi hari, kontol mending sempet bikin begituan bangun buat kuliah aja syukur","lika liku di pagi hari, kontol mending sempet bikin begituan bangun buat kuliah aja syukur",lika liku di pagi hari kontol mending sempet bikin begituan bangun buat kuliah aja syukur,lika liku di pagi hari kontol mending sempet bikin begituan bangun buat kuliah aja syukur,lika liku di pagi hari kontol mending sempet bikin begituan bangun buat kuliah aja syukur,"['lika', 'liku', 'pagi', 'kontol', 'mending', 'sempet', 'bikin', 'begitu', 'bangun', 'kuliah', 'aja', 'syukur']",lika liku pagi kontol mending sempet bikin begitu bangun kuliah aja syukur
greellowple,2022-10-05 23:28:55+00:00,"@tanpaahmad @a_dorible to me, tiap balik dari kuliah dan drop dia di kosannya wkwkwk"," to me, tiap balik dari kuliah dan drop dia di kosannya wkwkwk",to me tiap balik dari kuliah dan drop dia di kosannya wkwkwk,to me tiap balik dari kuliah dan drop dia di kosannya wkwkwk,to me tiap balik dari kuliah dan drop dia di kosannya wkwkwk,"['to', 'me', 'kuliah', 'drop', 'kosannya', 'wkwkwk']",to me kuliah drop kosannya wkwkwk
QUANXISH,2022-10-05 23:28:33+00:00,"akhirnya kuliah siang, bisa drop link sm hype","akhirnya kuliah siang, bisa drop link sm hype",akhirnya kuliah siang bisa drop link sm hype,akhirnya kuliah siang bisa drop link sm hype,akhirnya kuliah siang bisa drop link sm hype,"['kuliah', 'siang', 'drop', 'link', 'sm', 'hype']",kuliah siang drop link sm hype
iridoriscent,2022-10-05 23:27:52+00:00,jgn tanyakan seberapa rajin gw … dateng waktu parkiran masih 2 motor doang dan gedung kuliah masih dikunci 🥲 https://t.co/tX4xgKikEq,jgn tanyakan seberapa rajin gw … dateng waktu parkiran masih 2 motor doang dan gedung kuliah masih dikunci 🥲 https://t.co/tX4xgKikEq,jgn tanyakan seberapa rajin gw dateng waktu parkiran masih 2 motor doang dan gedung kuliah masih dikunci,jgn tanyakan seberapa rajin gw dateng waktu parkiran masih  motor doang dan gedung kuliah masih dikunci,jgn tanyakan seberapa rajin gw dateng waktu parkiran masih  motor doang dan gedung kuliah masih dikunci,"['rajin', 'dateng', 'waktu', 'parkir', 'motor', 'doang', 'gedung', 'kuliah', 'kunci']",rajin dateng waktu parkir motor doang gedung kuliah kunci
catatandini,2022-10-05 23:27:51+00:00,"@bebasaktif Gua rumah di Tangerang (daerah sekitar bandara Soeta) kuliah di Depok aja kadang ngeluh. Hehe. Tp meski begitu aku tetap bangga, karena sekarang kuliah masih 70% online. HAHAHA"," Gua rumah di Tangerang (daerah sekitar bandara Soeta) kuliah di Depok aja kadang ngeluh. Hehe. Tp meski begitu aku tetap bangga, karena sekarang kuliah masih 70% online. HAHAHA",Gua rumah di Tangerang daerah sekitar bandara Soeta kuliah di Depok aja kadang ngeluh Hehe Tp meski begitu aku tetap bangga karena sekarang kuliah masih 70 online HAHAHA,Gua rumah di Tangerang daerah sekitar bandara Soeta kuliah di Depok aja kadang ngeluh Hehe Tp meski begitu aku tetap bangga karena sekarang kuliah masih  online HAHAHA,gua rumah di tangerang daerah sekitar bandara soeta kuliah di depok aja kadang ngeluh hehe tp meski begitu aku tetap bangga karena sekarang kuliah masih  online hahaha,"['rumah', 'tangerang', 'daerah', 'bandara', 'soeta', 'kuliah', 'depok', 'aja', 'kadang', 'ngeluh', 'hehe', 'bangga', 'kuliah', 'online', 'hahaha']",rumah tangerang daerah bandara soeta kuliah depok aja kadang ngeluh hehe bangga kuliah online hahaha
jungwonganjuk,2022-10-05 23:27:50+00:00,tapi kok gue kuliah kesehatan,tapi kok gue kuliah kesehatan,tapi kok gue kuliah kesehatan,tapi kok gue kuliah kesehatan,tapi kok gue kuliah kesehatan,"['kuliah', 'sehat']",kuliah sehat
urfavstoberiuyu,2022-10-05 23:27:43+00:00,"@sbmptnfess Gak apa nder, gw kuliah di top 250, banyak kok orang hebat di sana"," Gak apa nder, gw kuliah di top 250, banyak kok orang hebat di sana",Gak apa nder gw kuliah di top 250 banyak kok orang hebat di sana,Gak apa nder gw kuliah di top  banyak kok orang hebat di sana,gak apa nder gw kuliah di top  banyak kok orang hebat di sana,"['gak', 'nder', 'kuliah', 'top', 'hebat']",gak nder kuliah top hebat
yoshafir1594,2022-10-05 23:27:41+00:00,@collegemenfess Ga penting anjir klo emg lo nya terbebani ganggu kuliah, Ga penting anjir klo emg lo nya terbebani ganggu kuliah,Ga penting anjir klo emg lo nya terbebani ganggu kuliah,Ga penting anjir klo emg lo nya terbebani ganggu kuliah,ga penting anjir klo emg lo nya terbebani ganggu kuliah,"['anjir', 'klo', 'emg', 'beban', 'ganggu', 'kuliah']",anjir klo emg beban ganggu kuliah
aegyooa,2022-10-05 23:27:08+00:00,"@collegemenfess Gak penting sih, fokus kuliah biar lulu tepat waktu dulu aja kalo gue dulu supportsystem cukup dari keluarga aja. Terkadang punya pacar malah jadi beban pikiran. Kecuali kalo pacar berguna buat nyelesain skripsi mungkin bisa dipertimbangkan lah kalo gitu"," Gak penting sih, fokus kuliah biar lulu tepat waktu dulu aja kalo gue dulu supportsystem cukup dari keluarga aja. Terkadang punya pacar malah jadi beban pikiran. Kecuali kalo pacar berguna buat nyelesain skripsi mungkin bisa dipertimbangkan lah kalo gitu",Gak penting sih fokus kuliah biar lulu tepat waktu dulu aja kalo gue dulu supportsystem cukup dari keluarga aja Terkadang punya pacar malah jadi beban pikiran Kecuali kalo pacar berguna buat nyelesain skripsi mungkin bisa dipertimbangkan lah kalo gitu,Gak penting sih fokus kuliah biar lulu tepat waktu dulu aja kalo gue dulu supportsystem cukup dari keluarga aja Terkadang punya pacar malah jadi beban pikiran Kecuali kalo pacar berguna buat nyelesain skripsi mungkin bisa dipertimbangkan lah kalo gitu,gak penting sih fokus kuliah biar lulu tepat waktu dulu aja kalo gue dulu supportsystem cukup dari keluarga aja terkadang punya pacar malah jadi beban pikiran kecuali kalo pacar berguna buat nyelesain skripsi mungkin bisa dipertimbangkan lah kalo gitu,"['gak', 'fokus', 'kuliah', 'biar', 'lulu', 'waktu', 'aja', 'kalo', 'supportsystem', 'keluarga', 'aja', 'terkadang', 'pacar', 'beban', 'pikir', 'kecuali', 'kalo', 'pacar', 'guna', 'nyelesain', 'skripsi', 'timbang', 'kalo', 'gitu']",gak fokus kuliah biar lulu waktu aja kalo supportsystem keluarga aja terkadang pacar beban pikir kecuali kalo pacar guna nyelesain skripsi timbang kalo gitu
alinithia,2022-10-05 23:27:08+00:00,perasaan mantannya temen yang polisi kemarin dulu kuliah s1 hukum juga kukira ini tuh wajib https://t.co/4PiohrDYn4,perasaan mantannya temen yang polisi kemarin dulu kuliah s1 hukum juga kukira ini tuh wajib https://t.co/4PiohrDYn4,perasaan mantannya temen yang polisi kemarin dulu kuliah s1 hukum juga kukira ini tuh wajib,perasaan mantannya temen yang polisi kemarin dulu kuliah s hukum juga kukira ini tuh wajib,perasaan mantannya temen yang polisi kemarin dulu kuliah s hukum juga kukira ini tuh wajib,"['asa', 'mantan', 'temen', 'polisi', 'kemarin', 'kuliah', 'hukum', 'kira', 'tuh', 'wajib']",asa mantan temen polisi kemarin kuliah hukum kira tuh wajib
meIIifIuoussie,2022-10-05 23:27:04+00:00,"@convomf 3 tahun, realme C2. masih oke banget ga lemot krn rajin dibersihin walaupun kameranya dah mulai bosok, pengen ganti cuma ngga deh soalnya biar jadi saksi hidupku selama masuk sampe lulus kuliah nanti WKWKWK."," 3 tahun, realme C2. masih oke banget ga lemot krn rajin dibersihin walaupun kameranya dah mulai bosok, pengen ganti cuma ngga deh soalnya biar jadi saksi hidupku selama masuk sampe lulus kuliah nanti WKWKWK.",3 tahun realme C2 masih oke banget ga lemot krn rajin dibersihin walaupun kameranya dah mulai bosok pengen ganti cuma ngga deh soalnya biar jadi saksi hidupku selama masuk sampe lulus kuliah nanti WKWKWK, tahun realme C masih oke banget ga lemot krn rajin dibersihin walaupun kameranya dah mulai bosok pengen ganti cuma ngga deh soalnya biar jadi saksi hidupku selama masuk sampe lulus kuliah nanti WKWKWK, tahun realme c masih oke banget ga lemot krn rajin dibersihin walaupun kameranya dah mulai bosok pengen ganti cuma ngga deh soalnya biar jadi saksi hidupku selama masuk sampe lulus kuliah nanti wkwkwk,"['tahun', 'realme', 'banget', 'lot', 'rajin', 'dibersihin', 'kamera', 'dah', 'bosok', 'ken', 'ganti', 'ngga', 'deh', 'biar', 'saksi', 'hidup', 'sampe', 'lulus', 'kuliah', 'wkwkwk']",tahun realme banget lot rajin dibersihin kamera dah bosok ken ganti ngga deh biar saksi hidup sampe lulus kuliah wkwkwk
